Warehouse,Item,time_index,year,month,day_of_week,week_of_year
1,75926,9095,2024,11,0,48
2,75926,9095,2024,11,0,48
2,3151038,9095,2024,11,0,48
1,775984,9095,2024,11,0,48
1,7650915,9095,2024,11,0,48
2,775984,9095,2024,11,0,48
1,3151038,7634,2020,11,2,48
1,75926,8728,2023,11,4,47
1,534545,8362,2022,11,2,47
1,75926,8362,2022,11,2,47
1,2162378,7632,2020,11,0,48
1,3151109,7632,2020,11,0,48
1,7362818,7632,2020,11,0,48
1,1467943,7632,2020,11,0,48
1,3150146,7632,2020,11,0,48
1,775984,9092,2024,11,4,47
1,7830864,9092,2024,11,4,47
1,7650915,9092,2024,11,4,47
1,1467943,9092,2024,11,4,47
2,3151059,9092,2024,11,4,47
1,75926,9092,2024,11,4,47
1,75926,8726,2023,11,2,47
1,775984,8726,2023,11,2,47
1,375557,8726,2023,11,2,47
1,3151038,8361,2022,11,1,47
1,7362822,7996,2021,11,0,47
1,1467943,7996,2021,11,0,47
1,3151038,7996,2021,11,0,47
1,7362818,9091,2024,11,3,47
1,75926,9091,2024,11,3,47
1,775984,9091,2024,11,3,47
1,75926,8725,2023,11,1,47
1,375557,8725,2023,11,1,47
1,775984,8725,2023,11,1,47
1,75926,8360,2022,11,0,47
1,7650916,8360,2022,11,0,47
1,375557,8360,2022,11,0,47
1,775984,8360,2022,11,0,47
1,7362822,8360,2022,11,0,47
1,7650915,9090,2024,11,2,47
1,75926,9090,2024,11,2,47
1,7650916,9090,2024,11,2,47
1,7609287,9090,2024,11,2,47
1,1467943,9090,2024,11,2,47
1,7362822,9090,2024,11,2,47
1,7609279,9090,2024,11,2,47
1,775984,9090,2024,11,2,47
2,3151038,8724,2023,11,0,47
1,3150593,8724,2023,11,0,47
1,375557,8724,2023,11,0,47
1,775984,8724,2023,11,0,47
2,3150146,8724,2023,11,0,47
2,3151059,8724,2023,11,0,47
2,2162378,8724,2023,11,0,47
1,2162378,8724,2023,11,0,47
1,75926,8724,2023,11,0,47
1,75926,8706,2023,11,3,44
1,375557,8706,2023,11,3,44
1,775984,8706,2023,11,3,44
1,775984,8341,2022,11,2,44
1,534545,8341,2022,11,2,44
1,3151038,7976,2021,11,1,44
1,3151038,7611,2020,11,0,45
1,1467943,7611,2020,11,0,45
1,3150593,7611,2020,11,0,45
1,7362822,7611,2020,11,0,45
1,7362818,7611,2020,11,0,45
1,775984,9089,2024,11,1,47
1,1467943,9089,2024,11,1,47
1,375557,9089,2024,11,1,47
1,7362822,9089,2024,11,1,47
1,7362818,9089,2024,11,1,47
1,75926,9089,2024,11,1,47
1,7629489,9088,2024,11,0,47
2,3151038,9088,2024,11,0,47
1,375557,9088,2024,11,0,47
2,75926,9088,2024,11,0,47
2,2162378,9088,2024,11,0,47
1,7609279,9088,2024,11,0,47
1,775984,9088,2024,11,0,47
2,3150146,9088,2024,11,0,47
1,75926,9088,2024,11,0,47
2,3151059,9088,2024,11,0,47
1,775984,8357,2022,11,4,46
1,775984,8721,2023,11,4,46
1,375557,8721,2023,11,4,46
1,75926,8721,2023,11,4,46
1,375557,8356,2022,11,3,46
1,75926,8356,2022,11,3,46
1,775984,8356,2022,11,3,46
1,775984,8720,2023,11,3,46
1,534545,8720,2023,11,3,46
1,375557,8720,2023,11,3,46
1,75926,8720,2023,11,3,46
1,3150593,8355,2022,11,2,46
1,1467943,7625,2020,11,0,47
1,3151038,7625,2020,11,0,47
1,7362822,7625,2020,11,0,47
1,3151109,7625,2020,11,0,47
1,3150593,7625,2020,11,0,47
1,7362818,7625,2020,11,0,47
1,75926,9085,2024,11,4,46
1,7362822,9085,2024,11,4,46
1,775984,9085,2024,11,4,46
1,375557,9085,2024,11,4,46
1,1467943,8719,2023,11,2,46
1,7830864,8719,2023,11,2,46
1,7609287,8719,2023,11,2,46
1,775984,8719,2023,11,2,46
1,75926,8719,2023,11,2,46
1,375557,8719,2023,11,2,46
1,75926,8354,2022,11,1,46
1,3151038,8354,2022,11,1,46
1,3151038,7989,2021,11,0,46
1,3151109,9084,2024,11,3,46
1,375557,9084,2024,11,3,46
1,7362822,9084,2024,11,3,46
2,3151059,9084,2024,11,3,46
1,775984,9084,2024,11,3,46
1,75926,9084,2024,11,3,46
1,75926,8718,2023,11,1,46
1,375557,8718,2023,11,1,46
1,3151038,8718,2023,11,1,46
1,775984,8718,2023,11,1,46
1,775984,8353,2022,11,0,46
1,375557,8353,2022,11,0,46
1,75926,8353,2022,11,0,46
1,775984,9083,2024,11,2,46
1,75926,9083,2024,11,2,46
2,775984,9083,2024,11,2,46
1,775984,8717,2023,11,0,46
1,3151109,8717,2023,11,0,46
1,75926,8717,2023,11,0,46
2,3151059,8717,2023,11,0,46
2,1467943,8717,2023,11,0,46
1,2162378,8717,2023,11,0,46
2,3150146,8717,2023,11,0,46
1,7650916,9082,2024,11,1,46
1,7609287,9082,2024,11,1,46
1,7609279,9082,2024,11,1,46
1,3151109,9082,2024,11,1,46
1,75926,9082,2024,11,1,46
1,775984,9082,2024,11,1,46
1,3150593,9082,2024,11,1,46
1,7362818,9082,2024,11,1,46
1,7830864,9081,2024,11,0,46
2,3151038,9081,2024,11,0,46
1,775984,9081,2024,11,0,46
1,1467943,9081,2024,11,0,46
2,3151059,9081,2024,11,0,46
2,2162378,9081,2024,11,0,46
1,75926,9081,2024,11,0,46
2,3150146,9081,2024,11,0,46
1,3151038,7620,2020,11,2,46
1,534545,8714,2023,11,4,45
1,75926,8714,2023,11,4,45
1,375557,8714,2023,11,4,45
1,775984,8714,2023,11,4,45
1,75926,8349,2022,11,3,45
1,375557,8349,2022,11,3,45
1,2912121,9071,2024,11,4,44
1,75926,9071,2024,11,4,44
1,375557,9071,2024,11,4,44
2,3151059,9071,2024,11,4,44
1,775984,9071,2024,11,4,44
1,7609279,9071,2024,11,4,44
1,775984,8705,2023,11,2,44
1,75926,8705,2023,11,2,44
1,75926,8340,2022,11,1,44
1,3151038,8340,2022,11,1,44
1,75926,9048,2024,10,2,41
1,375557,9048,2024,10,2,41
1,775984,9048,2024,10,2,41
1,7609287,9048,2024,10,2,41
2,3151059,8682,2023,10,0,41
1,775984,8682,2023,10,0,41
2,3150146,8682,2023,10,0,41
1,75926,8682,2023,10,0,41
2,3151038,8682,2023,10,0,41
2,2162378,8682,2023,10,0,41
1,375557,8682,2023,10,0,41
1,7830864,8682,2023,10,0,41
1,7650916,8682,2023,10,0,41
1,534545,8682,2023,10,0,41
1,775984,9047,2024,10,1,41
2,3151059,9047,2024,10,1,41
1,75926,9047,2024,10,1,41
2,3150146,9046,2024,10,0,41
1,1467943,9046,2024,10,0,41
1,75926,9046,2024,10,0,41
2,2162378,9046,2024,10,0,41
2,775984,9046,2024,10,0,41
2,3151038,9046,2024,10,0,41
1,775984,9046,2024,10,0,41
1,7830864,9046,2024,10,0,41
2,2912121,9046,2024,10,0,41
1,3151109,9046,2024,10,0,41
1,375557,8315,2022,10,4,40
1,534545,8315,2022,10,4,40
1,75926,8315,2022,10,4,40
1,3151038,7585,2020,10,2,41
1,75926,8679,2023,10,4,40
1,775984,8679,2023,10,4,40
1,375557,8679,2023,10,4,40
1,75926,8678,2023,10,3,40
1,7609279,8678,2023,10,3,40
1,775984,8678,2023,10,3,40
1,375557,8678,2023,10,3,40
1,7609287,8678,2023,10,3,40
1,7629489,8678,2023,10,3,40
1,2162378,7948,2021,10,1,40
1,7362822,7948,2021,10,1,40
1,3151038,7948,2021,10,1,40
1,2912121,7948,2021,10,1,40
1,7362818,7948,2021,10,1,40
1,3150593,7583,2020,10,0,41
1,3151109,7583,2020,10,0,41
1,7362818,7583,2020,10,0,41
1,375557,9043,2024,10,4,40
1,7609287,9043,2024,10,4,40
1,775984,9043,2024,10,4,40
1,75926,9043,2024,10,4,40
1,775984,8677,2023,10,2,40
1,75926,8677,2023,10,2,40
1,375557,8677,2023,10,2,40
1,3151038,8312,2022,10,1,40
1,7650915,9070,2024,10,3,44
1,75926,9070,2024,10,3,44
1,375557,9070,2024,10,3,44
1,775984,9070,2024,10,3,44
1,7609287,9070,2024,10,3,44
1,7830864,9070,2024,10,3,44
1,375557,8704,2023,10,1,44
1,3151038,8704,2023,10,1,44
1,775984,8704,2023,10,1,44
1,75926,8704,2023,10,1,44
1,1467943,8339,2022,10,0,44
1,2162378,8339,2022,10,0,44
1,3150593,8339,2022,10,0,44
1,75926,8339,2022,10,0,44
1,3150146,8339,2022,10,0,44
1,1467943,9069,2024,10,2,44
1,2162378,9069,2024,10,2,44
1,7629489,9069,2024,10,2,44
1,7650916,9069,2024,10,2,44
1,75926,9069,2024,10,2,44
1,375557,9069,2024,10,2,44
1,775984,9069,2024,10,2,44
2,2162378,8703,2023,10,0,44
1,7362822,8703,2023,10,0,44
1,75926,8703,2023,10,0,44
1,375557,8703,2023,10,0,44
2,3150146,8703,2023,10,0,44
2,3151059,8703,2023,10,0,44
1,775984,8703,2023,10,0,44
2,3151038,8703,2023,10,0,44
1,3151038,9042,2024,10,3,40
1,75926,9042,2024,10,3,40
1,7362822,9042,2024,10,3,40
1,375557,9042,2024,10,3,40
1,375557,8676,2023,10,1,40
1,7650915,8676,2023,10,1,40
1,75926,8676,2023,10,1,40
1,775984,8676,2023,10,1,40
1,3151038,8676,2023,10,1,40
1,775984,8311,2022,10,0,40
1,75926,8311,2022,10,0,40
1,7650916,8311,2022,10,0,40
1,2162378,8311,2022,10,0,40
1,3150146,8311,2022,10,0,40
1,775984,9068,2024,10,1,44
1,375557,9068,2024,10,1,44
1,7650915,9068,2024,10,1,44
1,1467943,9068,2024,10,1,44
2,3151059,9068,2024,10,1,44
1,75926,9068,2024,10,1,44
1,3151109,9067,2024,10,0,44
1,7362822,9067,2024,10,0,44
1,75926,9067,2024,10,0,44
1,534545,9067,2024,10,0,44
2,3150146,9067,2024,10,0,44
1,7362818,9067,2024,10,0,44
2,3151059,9067,2024,10,0,44
2,3151038,9067,2024,10,0,44
1,375557,9067,2024,10,0,44
2,2162378,9067,2024,10,0,44
1,75926,8336,2022,10,4,43
1,2912121,7606,2020,10,2,44
1,3151038,7606,2020,10,2,44
1,7609287,8700,2023,10,4,43
1,375557,8700,2023,10,4,43
1,75926,8700,2023,10,4,43
1,75926,8335,2022,10,3,43
1,75926,8699,2023,10,3,43
1,375557,8699,2023,10,3,43
1,75926,8334,2022,10,2,43
1,3151038,7969,2021,10,1,43
1,7362822,7604,2020,10,0,44
1,2162378,7604,2020,10,0,44
1,3150593,7604,2020,10,0,44
1,3151109,7604,2020,10,0,44
1,7362818,7604,2020,10,0,44
1,2912121,9064,2024,10,4,43
1,775984,9064,2024,10,4,43
1,75926,9064,2024,10,4,43
1,375557,9064,2024,10,4,43
1,375557,8698,2023,10,2,43
1,775984,8698,2023,10,2,43
1,75926,8698,2023,10,2,43
1,7629489,8698,2023,10,2,43
1,75926,8333,2022,10,1,43
1,3151038,8333,2022,10,1,43
1,375557,8333,2022,10,1,43
1,2162378,7968,2021,10,0,43
1,3150593,7968,2021,10,0,43
1,1467943,7968,2021,10,0,43
2,775984,9063,2024,10,3,43
1,375557,9063,2024,10,3,43
1,75926,9063,2024,10,3,43
1,1467943,9063,2024,10,3,43
2,3151059,9063,2024,10,3,43
1,7650916,9063,2024,10,3,43
1,7830864,8697,2023,10,1,43
1,375557,8697,2023,10,1,43
1,75926,8697,2023,10,1,43
1,775984,8697,2023,10,1,43
1,7650916,8697,2023,10,1,43
1,2912121,8332,2022,10,0,43
1,534545,8332,2022,10,0,43
1,75926,8332,2022,10,0,43
1,375557,9062,2024,10,2,43
1,75926,9062,2024,10,2,43
1,7609287,9062,2024,10,2,43
